title,price,location,date,model,processor,screen_size,storage,ram,warranty,price_num,normalized_link
Macbook Pro 14” M3pro晶片 512G 太空黑,"NT$45,000","Taoyuan District, Taoyuan",2025-06-29,MacBook Pro,M3Pro,14,512,Unknown,Unknown,45000,https://www.facebook.com/marketplace/item/600144609774150/
"徵求 Macbook Air 15吋 一台 （ M3, M4 皆可 ）","NT$40,000","Taoyuan District, Taoyuan",2025-06-29,MacBook Air,M3,15,Unknown,Unknown,Unknown,40000,https://www.facebook.com/marketplace/item/1067181298693286/
MacBook Air 13吋 I5 1.6G Retina 8G 128G 2018 A1932,"NT$6,500","Taoyuan District, Taoyuan",2025-06-29,MacBook Air,Intel i5,13,Unknown,8,Unknown,6500,https://www.facebook.com/marketplace/item/1891200818297880/
MacBook AIR 13-inch太空灰 筆記型電腦,"NT$9,000","Hsinchu, Taiwan",2025-06-29,MacBook Air,Unknown,13,Unknown,Unknown,Unknown,9000,https://www.facebook.com/marketplace/item/711574281470624/
Macbook Air 13inch 2017,"NT$6,500","Taoyuan District, Taoyuan",2025-06-29,MacBook Air,Unknown,13,Unknown,Unknown,Unknown,6500,https://www.facebook.com/marketplace/item/1210627964194761/
MacBook Air 2013,"NT$2,500","Taoyuan District, Taoyuan",2025-06-29,MacBook Air,Unknown,13,Unknown,Unknown,Unknown,2500,https://www.facebook.com/marketplace/item/1040995010794792/
MacBook Air M3 13寸 256g 星光色 還在保固內,"NT$23,000","Taoyuan District, Taoyuan",2025-06-29,MacBook Air,M3,13,256,Unknown,In Warranty,23000,https://www.facebook.com/marketplace/item/9984968511585053/
MacBook Air M3 15吋8+256g 星光色 2024/09購入 還在保固期內,"NT$30,000","Taoyuan District, Taoyuan",2025-06-29,MacBook Air,M3,15,256,Unknown,Unknown,30000,https://www.facebook.com/marketplace/item/1230164922235527/
【Apple】保固中 MacBook Air 13.6吋 M3 晶片 8核心CPU 與 10核心GPU 16G/512G SSD 午夜藍,"NT$30,000","Taoyuan District, Taoyuan",2025-06-29,MacBook Air,M3,13,512,16,Unknown,30000,https://www.facebook.com/marketplace/item/1054149253332713/
Macbook air 13 m2,"NT$15,000",Yilan City,2025-06-29,MacBook Air,M2,13,Unknown,Unknown,Unknown,15000,https://www.facebook.com/marketplace/item/2605845146280271/
MacBook Air M3 13吋 午夜色 保固中,"NT$27,900","Taoyuan District, Taoyuan",2025-06-29,MacBook Air,M3,13,Unknown,Unknown,Unknown,27900,https://www.facebook.com/marketplace/item/722041000568130/
Macbook Air 2019蘋果筆電 Apple A1932 8G 128G (0150),"NT$7,000","Taoyuan District, Taoyuan",2025-06-29,MacBook Air,Unknown,15,Unknown,8,Unknown,7000,https://www.facebook.com/marketplace/item/2218446098673567/
【售】MacBook Air 13吋 M2 / 8GB / 256G / 星光,"NT$19,000","Taipei, Taiwan",2025-06-29,MacBook Air,M2,13,256,8,Unknown,19000,https://www.facebook.com/marketplace/item/1962290234601487/
售 Macbook air M2 13吋 16GB/256GB,"NT$22,000","Taichung, Taiwan",2025-06-29,MacBook Air,M2,13,256,16,Unknown,22000,https://www.facebook.com/marketplace/item/1893381918150162/
超級新 32記憶體/1Tb 硬碟 M1 Pro MacBook 16吋 太空灰,"NT$39,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,16,Unknown,Unknown,Unknown,39000,https://www.facebook.com/marketplace/item/1423396059075253/
APPLE MACBOOK PRO 16吋 M1PRO 16/512G 電池健康96% 循環69次 2021年,"NT$29,000","Taoyuan District, Taoyuan",2025-06-29,MacBook Pro,M1Pro,16,512,16,Unknown,29000,https://www.facebook.com/marketplace/item/1181132456836715/
【售】MacBook Air 13吋 M2 / 8GB / 256G / 太空灰,"NT$19,000","Taipei, Taiwan",2025-06-29,MacBook Air,M2,13,256,8,Unknown,19000,https://www.facebook.com/marketplace/item/1855519231689641/
MacBook Pro Retina 16吋 I7 2.6G TB 16G 512G A2141 2021 盒裝,"NT$18,000","Taoyuan District, Taoyuan",2025-06-29,MacBook Pro,Intel i7,16,512,16,Unknown,18000,https://www.facebook.com/marketplace/item/744344591397097/
徵 MacBook Air 13.6 m2 太空灰,"NT$18,000","Taoyuan District, Taoyuan",2025-06-29,MacBook Air,M2,13,Unknown,Unknown,Unknown,18000,https://www.facebook.com/marketplace/item/645906211482619/
【艾爾巴二手】MACBOOK AIR 2020 A2337 M1/8G/512G 13吋 銀#二手筆電#桃園店5Q6L5,"NT$14,800","Taoyuan District, Taoyuan",2025-06-29,MacBook Air,M1,13,512,8,Unknown,14800,https://www.facebook.com/marketplace/item/634828133052744/
MacBook Pro M1 13,"NT$19,000",New Taipei City,2025-06-29,MacBook Pro,M1,13,Unknown,Unknown,Unknown,19000,https://www.facebook.com/marketplace/item/1437096427707793/
Macbook Air M2 15吋黑色 16g 1TB 電池🔋100%,"NT$33,000","Kaohsiung, Taiwan",2025-06-29,MacBook Air,M2,15,Unknown,16,Unknown,33000,https://www.facebook.com/marketplace/item/577141905454119/
Macbook Pro 14吋 M1Pro 配件多,"NT$30,800","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,14,Unknown,Unknown,Unknown,30800,https://www.facebook.com/marketplace/item/1194076959068220/
出清 全新未拆14 吋MacBook Pro M4 銀色 512G 16G,"NT$41,500","Taipei, Taiwan",2025-06-29,MacBook Pro,M4,14,512,16,Unknown,41500,https://www.facebook.com/marketplace/item/1247262043621653/
16 吋 MacBook Pro M1 Pro 32G 1T 灰色 Apple Care保固至11月,"NT$34,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,16,Unknown,16,AppleCare,34000,https://www.facebook.com/marketplace/item/1712670286793057/
Macbook pro 16吋M3 Pro 18GB 1TB,"NT$48,500",New Taipei City,2025-06-29,MacBook Pro,M3Pro,16,Unknown,Unknown,Unknown,48500,https://www.facebook.com/marketplace/item/670674719302478/
Macbook pro 14吋M1 Pro 32GB 1TB,"NT$34,500",New Taipei City,2025-06-29,MacBook Pro,M1Pro,14,Unknown,32,Unknown,34500,https://www.facebook.com/marketplace/item/2515968075403859/
[販售] 雙北 MacBook Pro M1 Pro 14 16G 1TB,"NT$34,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,14,Unknown,16,Unknown,34000,https://www.facebook.com/marketplace/item/725259963342137/
32G/1TB SSD 超值M1 Pro 14吋 Macbook,"NT$37,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,14,Unknown,32,Unknown,37000,https://www.facebook.com/marketplace/item/1838480396917062/
【售】MacBook Pro 13吋 M2 / 2023 / 8GB / 256G / 太空灰,"NT$23,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M2,13,256,8,Unknown,23000,https://www.facebook.com/marketplace/item/700558696082299/
16 吋 MacBook Pro M1 Pro 32GB 1TB 灰色,"NT$31,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,16,Unknown,16,Unknown,31000,https://www.facebook.com/marketplace/item/1267266048338954/
Macbook Pro 16型 m2 Pro 12cpu 19gpu 32g,"NT$57,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M2Pro,16,Unknown,32,Unknown,57000,https://www.facebook.com/marketplace/item/2511842279160787/
售MacBook Pro 14吋 晶片為M1 pro 記憶體32g，容量1T,"$39,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,14,Unknown,Unknown,Unknown,39000,https://www.facebook.com/marketplace/item/1625598834812373/
"Apple MacBook Pro 13吋,M2,2022","$32,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M2,13,Unknown,Unknown,Unknown,32000,https://www.facebook.com/marketplace/item/599262199369484/
Macbook Pro 14吋 M4太空黑全新未拆配件多,"NT$46,800","Taipei, Taiwan",2025-06-29,MacBook Pro,M4,14,Unknown,Unknown,Unknown,46800,https://www.facebook.com/marketplace/item/1306300637728748/
全新未拆 客製36記憶體/1TB SSD M3 Pro 晶片 MacBook Pro retina 14吋,"NT$57,500","Taipei, Taiwan",2025-06-29,MacBook Pro,M3Pro,14,Unknown,Unknown,Unknown,57500,https://www.facebook.com/marketplace/item/1305653181562361/
"MacBook Pro 16"" M3 Pro 18GB 512GB 太空黑","NT$54,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M3Pro,16,512,16,Unknown,54000,https://www.facebook.com/marketplace/item/1779384482987087/
Apple Macbook Pro M3pro 18g記憶體 512G(太空黑）14吋-雙北面交,"NT$43,500",New Taipei City,2025-06-29,MacBook Pro,M3Pro,14,512,Unknown,Unknown,43500,https://www.facebook.com/marketplace/item/1393035975070070/
MacBook Pro a1990/i7/16G/512G,"NT$15,000",New Taipei City,2025-06-29,MacBook Pro,Intel i7,16,512,16,Unknown,15000,https://www.facebook.com/marketplace/item/2708920925974116/
apple MacBook Pro 256GB 灰2016,"NT$9,800","Taipei, Taiwan",2025-06-29,MacBook Pro,Unknown,16,256,Unknown,Unknown,9800,https://www.facebook.com/marketplace/item/1214498069934216/
Apple MacBook Pro M3晶片 16吋 黑色 2023 價格可議,"NT$66,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M3,16,Unknown,Unknown,Unknown,66000,https://www.facebook.com/marketplace/item/997092705533879/
徵求 MacBook Pro14吋 M4 台灣蘋果公司貨 盒裝原廠配件齊全 雙北面交,NT$88,"Taipei, Taiwan",2025-06-29,MacBook Pro,M4,14,Unknown,Unknown,Unknown,88,https://www.facebook.com/marketplace/item/1372829640440952/
Apple macbook pro (2016) 13寸 8/256,"NT$4,500",New Taipei City,2025-06-29,MacBook Pro,Unknown,16,256,8,Unknown,4500,https://www.facebook.com/marketplace/item/1042929564488120/
‼️超級新‼️售太空灰 MacBook Pro 14--inch M3 ❤️,"NT$58,000",New Taipei City,2025-06-29,MacBook Pro,M3,14,Unknown,Unknown,Unknown,58000,https://www.facebook.com/marketplace/item/1635450593834916/
MacBook Pro 16inch M4 Max 14C32G 36G 1TB 2024 全新機,"NT$107,950","Taipei, Taiwan",2025-06-29,MacBook Pro,M4Max,16,Unknown,Unknown,Unknown,107950,https://www.facebook.com/marketplace/item/1285614169573093/
MacBook Pro M1 (late 2020) 13英吋,"NT$22,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1,13,Unknown,Unknown,Unknown,22000,https://www.facebook.com/marketplace/item/1011042207847848/
Macbook pro 16 inch 2019,"NT$17,000",New Taipei City,2025-06-29,MacBook Pro,Unknown,16,Unknown,16,Unknown,17000,https://www.facebook.com/marketplace/item/1239249474562460/
[販售] 雙北 Macbook pro 16-inch M3 max/48G/1T,"NT$79,999","Taipei, Taiwan",2025-06-29,MacBook Pro,M3Max,16,Unknown,16,Unknown,79999,https://www.facebook.com/marketplace/item/619199520959594/
MacBook pro 16寸 2019 i9 16G 1TB,"NT$17,500","Taipei, Taiwan",2025-06-29,MacBook Pro,Intel i9,16,Unknown,16,Unknown,17500,https://www.facebook.com/marketplace/item/686387094026872/
MacBook Pro 13吋M2 8GB 256GB 2022,"NT$17,500","Taipei, Taiwan",2025-06-29,MacBook Pro,M2,13,256,8,Unknown,17500,https://www.facebook.com/marketplace/item/568263959382735/
MacBook pro 14’ M1 Pro,"NT$27,800",New Taipei City,2025-06-29,MacBook Pro,M1Pro,14,Unknown,Unknown,Unknown,27800,https://www.facebook.com/marketplace/item/1405273117146894/
