model,processor,screen_size,storage,ram,title
MacBook Air,M4,13,256,16,MacBook Air 13吋 M4 16GB 256G SSD 全新未拆
MacBook Pro,M3Pro,16,512,16,"MacBook Pro 16"" M3 Pro 18GB 512GB 太空黑"
MacBook Pro,Unknown,14,Unknown,Unknown,2014年末 Macbook Pro 15”Retina
MacBook Pro,Unknown,13,Unknown,Unknown,2017 13吋MacBook Pro intel Core i5晶片 太空灰
MacBook Air,M4,15,256,16,MacBook Air 15吋 M4 16GB 256G SSD 全新未拆
MacBook Air,M3,13,512,16,MacBook Air 13 m3 512/16 星光金 雙北
MacBook Unknown,M4,Unknown,Unknown,Unknown,Macbook m4
MacBook Pro,M1,13,512,8,2020 MacBook Pro 13吋 M1/8G/512G
MacBook Air,M1,13,Unknown,Unknown,MacBook Air M1 13吋 A2337
MacBook Pro,M2Pro,14,Unknown,16,售2023 MacBook Pro 14吋 M2 Pro 12C19G 16G 1TB 公司貨
MacBook Pro,M1Pro,14,Unknown,16,MacBook Pro M1 Pro 14吋 16G/1T 太空灰 電池循環12次、容量100%
MacBook Air,M1,13,512,16,賣 MacBook Air 13吋 M1(2020) 16G/512G 太空灰 健康91% 筆記型電腦
MacBook Air,M3,13,Unknown,Unknown,MacBook Air 13 M3
MacBook Pro,M2,13,Unknown,Unknown,MacBook Pro M2
MacBook Air,M1,13,256,8,2020 MacBook Air M1 8g/256GB 太空灰
MacBook Air,M4,13,Unknown,Unknown,Apple MacBook Air M4 (天藍色）
MacBook Air,M4,13,Unknown,Unknown,MacBook Air 13.6吋（M4晶片.10核心CPU與8核心GPU.16G記憶體.256G儲存空間）
Not Apple Computer,,,256,8,Apple Mac Mini M2 8G 256GB
MacBook Air,M2,13,256,8,MacBook Air m2 8G 256G 金色
MacBook Pro,M4Pro,14,Unknown,24,售Apple MacBook Pro 14寸M4 Pro晶片 24GB 、1TB SSD（少見的1TB！）
MacBook Air,M4,13,Unknown,Unknown,M4 MacBook Air 13吋
MacBook Air,M1,13,256,8,MacBook Air M1 8G/256GB
MacBook Pro,M1,13,Unknown,Unknown,MacBook Pro M1晶片
MacBook Pro,M3Pro,14,512,Unknown,Macbook pro 14吋M3 Pro 18GB 512GB
Not Apple Computer,,,Unknown,Unknown,拋售 老蘋果 功能正常
MacBook Pro,Unknown,15,Unknown,Unknown,"MacBook Pro (15-inch, 2017)"
Not Apple Computer,,,Unknown,8,Mac mini i5 8GB 1TB A1347 很新
MacBook Pro,M4,14,512,16,出清 全新未拆14 吋MacBook Pro M4 銀色 512G 16G
MacBook Pro,M1Pro,16,Unknown,16,16 吋 MacBook Pro M1 Pro 32G 1T 灰色 Apple Care保固至11月
Not Apple Computer,,,Unknown,4,"售2019.4 進階版客制機 MBPR 13"" i7 2.5/16GB RAM/500GB SSD/100% 健康電池"
MacBook Pro,M1Pro,14,Unknown,32,Macbook pro 14吋M1 Pro 32GB 1TB
MacBook Pro,M1Pro,14,Unknown,16,[販售] 雙北 MacBook Pro M1 Pro 14 16G 1TB
MacBook Pro,M1Pro,16,Unknown,16,16 吋 MacBook Pro M1 Pro 32GB 1TB 灰色
MacBook Pro,M2,13,Unknown,Unknown,"Apple MacBook Pro 13吋,M2,2022"
MacBook Pro,M4,14,Unknown,Unknown,Macbook Pro 14吋 M4太空黑全新未拆配件多
MacBook Pro,M3Pro,14,Unknown,Unknown,全新未拆 客製36記憶體/1TB SSD M3 Pro 晶片 MacBook Pro retina 14吋
MacBook Pro,M3Pro,13,512,Unknown,Apple Macbook Pro M3pro 18g記憶體 512G(太空黑）14吋-雙北面交
MacBook Pro,M3,16,Unknown,Unknown,Apple MacBook Pro M3晶片 16吋 黑色 2023 價格可議
MacBook Pro,Unknown,16,256,8,Apple macbook pro (2016) 13寸 8/256
MacBook Pro,M4Max,16,Unknown,Unknown,MacBook Pro 16inch M4 Max 14C32G 36G 1TB 2024 全新機
MacBook Pro,Unknown,13,Unknown,Unknown,MacBook Pro 13.3吋 2015
Not Apple Computer,,,Unknown,16,Microsoft Surface Pro 9 i7 16g 1tb
Not Apple Computer,,,Unknown,Unknown,"售 全新蘋果MBPR13"" A1713/A2171 電池，適用機型A1708/A2159/A2289/A2338"
MacBook Pro,Intel i9,16,Unknown,16,MacBook pro 16寸 2019 i9 16G 1TB
MacBook Pro,Unknown,13,Unknown,8,MacBook Pro A1708 8G / 128G銀色
Not Apple Computer,,,Unknown,Unknown,imac 2017
MacBook Pro,M1,14,Unknown,32,2021 14寸 Macbook Pro M1 / 32G / 2TB 八成新
Not Apple Computer,,,Unknown,Unknown,Mac book air m3 15吋 全新
MacBook Pro,M1Pro,14,Unknown,Unknown,Macbook pro 14吋 m1 pro
MacBook Pro,Unknown,16,Unknown,Unknown,Apple Macbook Pro 16吋 32GB記憶體版本
MacBook Pro,M3Pro,14,512,Unknown,【售】MacBook Pro 14吋 M3 Pro / 18GB / 512G / 銀
MacBook Pro,M2,13,Unknown,Unknown,MacBook Pro M2 2022
MacBook Pro,Unknown,14,Unknown,Unknown,14 吋 MacBook Pro
Not Apple Computer,,,512,4,iMac 27吋 I7 4.2G Retina 5K 16G 512G 2019 A1419
MacBook Pro,M2Pro,16,Unknown,Unknown,MacBook Pro 16吋（M2 pro）
MacBook Pro,Intel i7,15,512,16,【售】 MacBook Pro 15吋 i7 (2018/16G RAM/512G SSD)
MacBook Air,M1,13,512,8,MacBook Air M1 8g 512g 玫瑰金 2021
Not Apple Computer,,,Unknown,Unknown,Mcbook pro
MacBook Pro,M3Max,14,Unknown,Unknown,歡迎出價MacBook Pro 14” M3 MAX/14C CPU/30C GPU/36GB/2TB/銀色/包裝完整/二手保固中
MacBook Pro,M1Max,14,Unknown,64,徵 MacBookPro 14吋 m1max 64g 512或1T皆可
Not Apple Computer,,,Unknown,Unknown,出售 iPad Pro 12.9 LTE第六代+ 巧控鍵盤 + Apple Pencil
MacBook Pro,Intel i5,13,Unknown,16,MacbookPro 13 i5 16G 2018 可蓄電 C
MacBook Pro,Unknown,13,Unknown,Unknown,MacBook Pro 年份2023-2024
Not Apple Computer,,,Unknown,Unknown,iMac 2015年款 27寸 Retina 5K A1419
MacBook Pro,M1,13,256,8,2020 MACBOOK PRO M1 8G 256G 灰色 13吋
MacBook Pro,M2Pro,16,512,16,16吋 Macbook PRO M2 pro 16G 512G/贈近6000元配件
MacBook Pro,M2,13,256,8,【售】MacBook Pro 13吋 M2 / 2023 / 8GB / 256G / 太空灰
MacBook Pro,Unknown,16,Unknown,16,MacBook Pro A2485 16g/1T
MacBook Pro,Unknown,16,512,16,MacBook Pro A2141 16/512g
MacBook Pro,M1,13,256,16,"可分期 客製款 Macbook Pro 13"" 灰色 M1 / 16GB / 256GB 13吋"
MacBook Pro,M1Max,14,Unknown,64,徵 MacBook Pro M1 Max 64 14 inch
Not Apple Computer,,,Unknown,Unknown,MAC Book PRO 16吋
MacBook Pro,Unknown,13,Unknown,Unknown,🔥Macbookpro A1989 Touch Bar系列🔥
MacBook Air,M4,13,256,Unknown,「保固兩年」MacBook Air M4 2025 256G 僅使用幾次 幾乎全新 台北實體門市 可面交 蘋果筆記型電腦 二手筆電
MacBook Air,Intel i5,13,Unknown,8,出清 Macbook Air Pro 13.3 (1440 * 900) retina 蘋果電腦 i5/8G/128GB/apple筆電/電腦/筆記型電腦電腦
MacBook Pro,Unknown,13,Unknown,Unknown,MacBook Pro
Not Apple Computer,,,Unknown,Unknown,MacBook Air M1 - 英文鍵盤
MacBook Retina,Unknown,12,Unknown,Unknown,Apple MacBook 蘋果筆記型電腦 A1534 2018 玫瑰金 二手
MacBook Pro,Unknown,15,Unknown,Unknown,MacBook Pro A1502
MacBook Pro,Unknown,13,Unknown,128,二手2019年MacBook pro 128G A1708鐵灰色、附全新充電頭、office
MacBook Pro,Unknown,13,Unknown,Unknown,出售 MacBook Pro 2017
Not Apple Computer,,,256,128,"Airpods4, Iphone12pro 256G,12 128G,11 64/128G,xs 256G, MacBook pro13吋"
Not Apple Computer,,,Unknown,Unknown,蘋果 apple iMac 24吋 M1(2021) 8G記憶體 容量256GB
Not Apple Computer,,,Unknown,16,iMac M1 16G/1T
Not Apple Computer,,,256,Unknown,🔥蘋果MacBook Pro A1502 I5四代 文書筆電 搭配16G記憶體+256G SSD+Retina螢幕(2560*1600)+背光鍵盤🔥
Not Apple Computer,,,Unknown,Unknown,Mac book i7 size 15
Not Apple Computer,,,Unknown,16,賣 apple mac mini M4 16GB 全新 沒拆封
MacBook Pro,Unknown,13,512,Unknown,MacBook Pro A1708 512GB SSD硬碟
Not Apple Computer,,,Unknown,Unknown,Apple Thunderbolt SSD 1TB
MacBook Pro,Unknown,13,512,Unknown,蘋果原廠 升級用硬碟，M.2 SSD 512G A1398 A1502 macbook pro 免運寄出，7-11貨到付款
Not Apple Computer,,,Unknown,Unknown,irocks 無線鍵盤
Not Apple Computer,,,Unknown,Unknown,蘋果筆電充電器，售300。可店到店。
Not Apple Computer,,,Unknown,Unknown,全新 Hark islim 13吋筆電包-藍色
MacBook Air,Unknown,13,Unknown,Unknown,MacBook Pro A1466 零件機
MacBook Pro,M1,15,Unknown,16,二手 2015 MacBook pro 15吋 500gb ram 16gb
MacBook Pro,Unknown,13,Unknown,Unknown,MacBook pro A1278一批
Not Apple Computer,,,Unknown,Unknown,Apple Power Mac G4 稀有鏡面機MDD 外觀極佳、改上無線、藍牙，錯過不再
MacBook Pro,Unknown,16,Unknown,16,Macbook Pro 16
MacBook Air,Unknown,13,Unknown,Unknown,￼【UNIQ】Macbook Air/Pro 13吋 磁吸筆電保護套(DFender)｜筆電套 時尚緩衝 綠
MacBook Pro,Unknown,13,Unknown,8,MacBook Pro 2017 A1708 灰色 8G/128G 電池276次
MacBook Pro,M1,13,512,8,Macbook pro M1 2021 蘋果筆電 Apple A2338 8G 512G TouchBar TouchID (0143)
MacBook Pro,M2Pro,14,Unknown,Unknown,影音、平面設計、室內設計、編曲適合 高階版本M2 Pro MacBook Pro 14吋 1TB SSD
MacBook Pro,M3Pro,14,512,Unknown,Macbook pro 14吋M3 Pro 18GB 512GB
MacBook Pro,M1Pro,14,Unknown,32,Macbook pro 14吋M1 Pro 32GB 1TB
MacBook Air,M1,13,256,8,Macbook air M1 2020 蘋果筆電 Apple A2337 8G 256G M1處理器(0149)
Not Apple Computer,,,256,Unknown,出售 IPhone 15 promax 256g 黑色
MacBook Air,Unknown,13,256,8,Macbook Air 2018蘋果筆電 Apple A1932 8G 256G (0147)
MacBook Air,Intel i5,13,Unknown,16,Apple Macbook Air 13 2019 i5-1.6/16G/128G 瑕疵機 灰 A77192
MacBook Pro,M1,16,Unknown,Unknown,難得釋出M1 超香客製款16G記憶體256 ssd M1 2021 Macbook Pro 13
MacBook Pro,Unknown,13,Unknown,Unknown,MacBook Pro 13吋 Touch Bar 2016 $8500 功能都正常 雙北可面交
MacBook Pro,M1Pro,14,Unknown,Unknown,超值 32G記憶體M1 Pro MacBook 14吋
MacBook Pro,M2,13,256,8,【售】電池92% MacBook Pro 13吋 M2 / 2023 / 8GB / 256G / 太空灰
MacBook Pro,M2,13,256,8,【售】電池93% MacBook Pro 13吋 M2 / 2023 / 8GB / 256G / 太空灰
MacBook Air,M3,15,256,8,售Apple MacBook Air 15吋M3/8G/256G 2024 灰色
MacBook Pro,M3Max,16,Unknown,Unknown,M3 max MacBook Pro 16寸
MacBook Unknown,M1Max,16,Unknown,32,MacBook M1 Max 32G 1TB 16吋
MacBook Pro,M2,13,256,8,【售】MacBook Pro 13吋 M2 / 2023 / 8GB / 256G / 太空灰
MacBook Pro,Unknown,13,Unknown,Unknown,Macbookpro 2019
MacBook Pro,M3Pro,13,512,Unknown,MacBook Pro m3pro 18G 512GB 14寸 二手99%全新 可議價
MacBook Pro,M3Max,14,512,64,"MacBook Pro M3 Max, 14-inch, 64GB RAM, 512GB storage"
MacBook Pro,M1Pro,16,Unknown,16,高雄可面交🍎僅展示100%新 MacBook Pro 16吋 m1 pro 16/1TB
MacBook Pro,Unknown,13,Unknown,Unknown,二手筆電macbook pro 2020（touch bar)
MacBook Pro,Unknown,15,Unknown,Unknown,MacBook Pro 15 英寸，2017 銀色
Not Apple Computer,,,Unknown,16,Apple 16 Pro沙漠金
iPad Pro,M1,12.9,Unknown,128,Ipad pro 12.9吋第五代 M1晶片128g
MacBook Pro,M4,14,512,16,"✅全台面交✅ 蘋果 Apple MacBook Pro 14吋 M4 / 16G / 512G / 太空黑 / 14"" / Macbook Pro 14 M4 16G 512G"
MacBook Pro,M3,14,Unknown,Unknown,❤️‼️售MacBook Pro 14--inch M3 近全新割愛❤️
MacBook Pro,M1Pro,14,512,32,MacBook pro M1 pro 14吋 10 CPU 14 GUP RAM 32G SSD 512G
MacBook Pro,Unknown,14,Unknown,16,MacBook Pro 16-inch A2780
MacBook Pro,M4,14,512,16,Macbook Pro M4 14” 16/512G 太空黑
MacBook Pro,Unknown,13,Unknown,Unknown,[售]MacBook pro 13吋Touch Bar A2159 灰
MacBook Pro,M1,13,Unknown,Unknown,MacBook Pro M1
MacBook Air,M3,15,Unknown,Unknown,保固中 MacBook Air 15吋 M3｜電池健康度 100%
MacBook Pro,M3Pro,16,512,16,售 MacBook Pro 16.2吋 M3Pro/18G/ 512G-太空灰
MacBook Pro,Unknown,15,Unknown,Unknown,售 macbook pro 2018 15吋
MacBook Unknown,M2,Unknown,Unknown,8,Macbook M2 8/[hidden information] 吋
MacBook Air,M1,13,Unknown,Unknown,MacBook Air 13-inch M1（A2337）
MacBook Pro,M4,16,512,16,"MACBOOK PRO M4 16/512g 銀色 全新未拆""整新機"""
Not Apple Computer,,,256,16,Mac Mini M4 16GB/256 改2TB版本
Not Apple Computer,,,256,16,全新2024 Apple Mac mini/M4晶片/10核心CPU 10核心GPU/16G/256GB
MacBook Air,M3,13,Unknown,24,全新MacBook air m3 13吋 24g+512SSD銀色，原價49900
MacBook Pro,Unknown,15,Unknown,Unknown,MacBook Pro 15吋 2017年 A1707
MacBook Pro,Unknown,13,Unknown,8,✨Apple 13.3吋 1.37Kg Macbook Pro Retina 2016 TOUCH BAR/i5雙核 2.9G 8G/256GSSD超快開機 2560x1600視網膜/觸控列✨
MacBook Pro,Unknown,15,512,16,"Apple Macbook Pro Retina 15"" 2.6ghz 16gb/512gb ssd"
iPad Pro,M4,Unknown,512,16,iPhone 16 Pro Max Macbook Air 15吋 (24+512) M4 iPad Air
MacBook Air,Unknown,13,Unknown,Unknown,Macbook air 2019 13吋
Not Apple Computer,,,Unknown,Unknown,售
MacBook Retina,Unknown,12,Unknown,8,降 二手 蘋果Mac筆記型電腦（銀色）2017MacBook A1534 8G/SSD256GB雙核心
MacBook Pro,Unknown,13,Unknown,Unknown,超值入門 2017 MacBook Pro retina 13
Not Apple Computer,,,Unknown,Unknown,i7 surface pro 8100$
MacBook Pro,Intel i5,13,Unknown,Unknown,MacbookPro I5 科技銀 a1708 2017 電池可用一~二小D
MacBook Pro,Intel i5,13,Unknown,Unknown,MacBook Pro Intel Core i5 (13inch)
MacBook Pro,Intel i5,13,Unknown,Unknown,Apple macbook pro Intel i5 A1706 機況詳見說明
MacBook Pro,Unknown,13,Unknown,8,✨Apple 13.3吋 1.37Kg Macbook Pro 2017 視網膜高畫質/P3廣色域/ i5雙核 8G/256GSSD超快開機 超纖薄筆電✨
Not Apple Computer,,,256,8,Apple Mac mini M1 8g/256gb +黑色magic keyboard 及 mouse 有Touch ID的數字鍵盤及滑鼠
MacBook Air,Unknown,13,Unknown,Unknown,MacBook Air 2014
Not Apple Computer,,,Unknown,4,2011 iMac 2.7G 4G 1TB 21.5吋
Not Apple Computer,,,Unknown,Unknown,Mac pro 2010 零件機 有外殼 power 單cpu板 ram 硬碟 顯卡 附贈雙cou 板+散熱器
MacBook Pro,Unknown,15,Unknown,Unknown,Macbook pro 2015 保護硬殼+（二手）
MacBook Pro,M3,16,Unknown,Unknown,徵 MACBOOK PRO M3 16吋
MacBook Pro,Intel i7,15,Unknown,Unknown,"MacBook Pro 15"" Late 2011 [Core i7-2.2 GHz]"
MacBook Pro,Unknown,13,Unknown,16,2019 macbook pro 13 16g ram A2159
MacBook Unknown,Unknown,Unknown,Unknown,Unknown,Magsafe Macbook Charger
MacBook Pro,Unknown,13,Unknown,Unknown,電腦MacBook pro 2018 19 便宜出售
MacBook Air,M2,15,512,8,"M2 Macbook Air 15"" 2022 銀色 8G / 512G 只要22800 !!!"
MacBook Pro,M3,14,512,8,全新品 M3 Macbook Pro 14 8/512G 全新未拆封
MacBook Pro,Unknown,15,256,16,"Macbook Pro 15"" 2018 灰色 16G / 256G 剛換新電池 超便宜 只要12800 !!!"
MacBook Pro,Unknown,15,256,8,Macbook pro 2019蘋果筆電 Apple A2159 8G 256G TouchBar TouchID (0141)
MacBook Pro,M3Max,14,Unknown,Unknown,Macbook pro 14吋 M3Max 36G+1TB 14+30核 黑色
MacBook Pro,Unknown,15,Unknown,8,Apple Macbook pro TouchBar A1706 8G 256G蘋果筆電 (0151)
iPad Pro,M1,12.9,256,Unknown,iPad PRO 12.9 M1 太空灰色 256GB 附充電器
MacBook Pro,Unknown,13,Unknown,Unknown,【蘋果最後的旗艦】蘋果 Apple MacBook Pro 2012 蘋果筆電 已升級滿血 銀色
iPad Pro,M1,12.9,256,Unknown,iPad PRO 12.9 M1 太空灰色 256GB 附充電器
MacBook Pro,Unknown,14,Unknown,16,全新未拆 MacBook Pro 14 / 16
MacBook Pro,Unknown,13,Unknown,Unknown,MacBook Pro 13吋 (A1708)
MacBook Pro,Unknown,13,Unknown,Unknown,售 MacBook Pro 13吋 年份2015年有明顯使用痕跡功能一切正常
MacBook Air,M1,13,Unknown,16,Macbook air M1 16g 1TB 2020
MacBook Pro,M1Max,16,Unknown,32,"MacBook Pro 16吋 (2021, M1 Max, 32GB RAM, 1TB SSD, 美規版)"
MacBook Pro,M1Pro,14,Unknown,Unknown,MacBook Pro M1 Pro 14” 銀色
MacBook Pro,M2Pro,16,Unknown,Unknown,賣MacBook pro m2pro 16寸
MacBook Pro,Unknown,13,Unknown,Unknown,MacBook Pro 13吋
MacBook Pro,M1,13,Unknown,Unknown,Macbook pro M1 2020年 500G空間 8G記憶體
MacBook Pro,Unknown,13,Unknown,Unknown,Apple Macbook pro 13吋 銀色 2020年
MacBook Pro,Intel i5,13,Unknown,Unknown,#售 Mac book pro13吋 🔹品牌：Apple macbook pro 🔹有無盒裝配件：無 🔸出廠年份：2020 🔹處理器：2 GHz 四核心Intel Core i5
MacBook Pro,M2,16,256,16,M2 Powerful MacBook Pro 16GB 256GB
MacBook Pro,M1Pro,14,Unknown,16,Macbook m1 pro 14吋 16/512GB保固內
MacBook Pro,M2,16,Unknown,16,MacBook Pro 2017 i5 16G Ram 256GB容量
iPad Pro,M1,12.9,256,Unknown,iPad Pro 12.9 256GB M1 (第五代）
MacBook Pro,M1Max,16,Unknown,16,Macbook pro 16 m1 max 32GB 1TB 太空灰 二手
MacBook Pro,Intel i7,15,Unknown,16,極新 MacBook Pro 15吋 2016款 i7 16g 512ssd 剪片好幫手
MacBook Air,M2,13,Unknown,Unknown,Apple MacBook Air M2
MacBook Air,Unknown,13,Unknown,16,MacBook Air 13 1TB (16G)
MacBook Pro,Unknown,14,Unknown,16,全新 MacBook Pro 16-inch A2780
Not Apple Computer,,,Unknown,Unknown,［二手］Macbook Pro 2020 13吋 太空灰色(全英鍵盤）
MacBook Pro,Unknown,13,Unknown,Unknown,全新MacBook Pro 未拆封 未啟用保固 外盒無損
MacBook Pro,Intel i5,13,Unknown,8,【二手蘋果電腦】MacBook Pro 13吋 Touch Bar Intel Core i5 / 8GB / 太空灰 A1706 台北面交
MacBook Pro,M2,13,Unknown,Unknown,MacBook Pro（13 英寸，M2，2022 年）
MacBook Pro,Intel i5,13,Unknown,8,2017 13吋Macbook Pro i5 雙核2.3GHz 記憶體8G 容量256G
MacBook Air,Unknown,13,Unknown,Unknown,MacBook Air 售
iPad Pro,M4,13,256,Unknown,近全新M4 iPad Pro 13吋 256G WiFi版 太空灰
MacBook Air,M4,13,512,Unknown,Apple macbook air M4 512GB
Not Apple Computer,,,256,Unknown,Mac book air A1932 256g 有灌雙係統
Not Apple Computer,,,Unknown,Unknown,賣Macbook13(M4) 5/22購入 5/26開機 完全全新 僅拆封 售出原因：未做功課 系統不支援需要的軟體 未下載 僅用手機查看 附：螢幕保護貼 保護殼 鍵盤膜 觸控膜 軌跡貼
MacBook Pro,M1Pro,16,Unknown,32,Macbook pro 16吋M1 Pro 32GB 2TB
iPad Pro,M1,11,256,Unknown,二手 Apple 蘋果 iPad Pro 11 3 M1 256G WiFi 太空灰
MacBook Air,M3,13,256,16,全新MacBook Air M3 13.6吋 16G/256G SSD 午夜色售34000
MacBook Pro,Intel i7,15,Unknown,8,"MacBook Pro i7 8G/240G SSD 15"" big screen 大螢幕"
Not Apple Computer,,,Unknown,Unknown,1.CHERRY MX BOARD 3.0 RGB 白正刻 青軸 價格:800
MacBook Pro,Intel i9,16,Unknown,Unknown,32G記憶體 I9 八核心 MacBook Pro 16吋 1TB SSD 容量
MacBook Pro,M3Pro,14,Unknown,Unknown,Macbook pro 14吋M3 Pro 18GB 1TB
MacBook Pro,Unknown,15,Unknown,Unknown,售2020年生產，macbook pro a2159帶touch bar
MacBook Air,M1,13,Unknown,Unknown,Apple Macbook air m1 電池循環31次 跟新機差不多
Not Apple Computer,,,Unknown,Unknown,出售
MacBook Pro,Unknown,14,Unknown,Unknown,（售）2014年末 Macbook Pro 15”Retina
MacBook Air,Unknown,13,Unknown,Unknown,2019 MacBook Air
Not Apple Computer,,,Unknown,32,M1 Max 32GB 1TB SSD 購入：2022年4月30日
MacBook Pro,Unknown,13,Unknown,8,✨Apple 13.3吋 1.58Kg Macbook Pro Retina 2015 i5雙核 2.7G 8G/256GSSD超快開機 2560x1600視網膜高畫質螢幕/經典蘋果光LOGO✨
Not Apple Computer,,,256,16,iPhone 16 Pro 256G
MacBook Pro,Intel i5,13,Unknown,4,Apple MacBook pro i5 2.4 13寸
MacBook Air,Unknown,15,Unknown,Unknown,MacBook Air 2015
Not Apple Computer,,,Unknown,Unknown,🔥**售 2019 MAC BOOK PRO I5 輕薄筆電大特賣！**🔥
MacBook Unknown,Unknown,Unknown,Unknown,Unknown,Paralles desktop 20 在 macos 上用 arm架構版本的 windows 一年內可更新到最新 過期後該版本變終身 Macbook 軟體 應用程式
MacBook Pro,Intel i5,13,512,16,MacBook Pro 13寸 2020 i5 16g 512g
MacBook Pro,Intel i5,13,Unknown,8,【台中青蘋果】MacBook Pro 13吋 i5 2.3 8G 128G 2017 銀 二手 蘋果筆電 #96810
MacBook Pro,Unknown,16,Unknown,16,Macbook pro 16 inch 2019
Not Apple Computer,,,Unknown,Unknown,可自取 可寄送到付 拍立得200
MacBook Air,M2,13,Unknown,16,Macbook Air M2 16G/256SSD 銀色
MacBook Air,M2,13,Unknown,Unknown,MacBook Air M2
MacBook Air,M3,13,Unknown,8,MacBook Air 13 2024 8G M3可議價
MacBook Air,M4,15,256,16,Apple MacBook Air 15 M4 10核心 CPU 10核心 GPU 16G/256G SSD
Not Apple Computer,,,Unknown,Unknown,Apple二手手機收購
MacBook Air,M1,13,256,8,【售】MacBook air 13吋 M1 / A2337 / 8GB / 256G / 灰色
MacBook Air,M4,15,512,24,Macbook Air 15吋 (24+512) M4 晶片（最新晶片） 官網55900 售52000
MacBook Pro,M3Max,14,Unknown,Unknown,剪輯猛獸 全機包膜保固還有330幾天 M3 max 36G/1TB SSD MacBook Pro 14吋
MacBook Air,M3,15,Unknown,16,MacBook Air 15吋 m3晶片 16g ram 512G硬碟
MacBook Pro,Unknown,16,256,Unknown,🔥蘋果MacBook Pro A1708 I7七代 高效能筆電 搭配8G記憶體+256G SSD+Retina螢幕(2560*1600)🔥
Not Apple Computer,,,Unknown,Unknown,（全新）ADAM亞果元素 CASA Hub USB-C 9-in-1 Hub
Not Apple Computer,,,Unknown,Unknown,"售 i7 10700KF cpu, 功能正常使用 ps:只賣 cpu"
Not Apple Computer,,,256,8,外觀良好Mac mini M1 8G 256G 2021年
Not Apple Computer,,,Unknown,Unknown,全新未拆 OWC USB-C TRAVEL DOCK 2.0 隨身多功能擴充(USB-C / USB-A / SD 卡 / HDMI)
Not Apple Computer,,,Unknown,Unknown,Apple原廠配件 PD快充出售
MacBook Retina,Intel,12,512,8,"MacBook (Retina, 12 英吋, 2015 年初 8 GB RAM 512 GB SSD)"
MacBook Pro,Intel i9,16,Unknown,32,MacBook pro 16寸 2019 i9 32G 1TB
MacBook Pro,M3Pro,14,512,Unknown,Macbook pro 14吋M3 Pro 18GB 512GB 98%
MacBook Air,Unknown,13,512,Unknown,全新出清 MacBook Air 512GB
MacBook Air,M2,13,256,8,MacBook Air 2022 M2 8G+256G 13吋 A2681 午夜黑
Not Apple Computer,,,256,Unknown,Mac book air M4 天空藍 256GB 13吋
MacBook Air,M2,13,256,8,【售】MacBook Air 13吋 M2 / 8GB / 256G / 午夜色
Not Apple Computer,,,Unknown,Unknown,售mabook air M2
